"","State","CI.LB","Estimate","CI.UB","Sample.Size"
"1","FL","81.2","82.4","83.6","8761"
"2","PA","88.9","89.9","90.8","10243"
"3","AL","84.9","86.1","87.3","7825"
"4","SD","88.6","90.1","91.7","6865"
"5","WV","88.8","89.9","90.9","5755"
"6","MT","85.9","87.1","88.4","6806"
"7","MN","92.1","92.7","93.3","15492"
"8","NJ","86.6","87.6","88.5","11886"
"9","KS","84.7","85.5","86.3","12331"
"10","MI","88.8","89.7","90.7","7860"
"11","HI","91","91.9","92.9","6697"
"12","ME","88","89","90","8396"
"13","ND","90","91.2","92.4","7326"
"14","AK","83.4","85","86.7","3905"
"15","OH","88.7","89.8","90.9","10170"
"16","TX","73.9","75.1","76.3","12935"
"17","AZ","84.4","85.6","86.7","13749"
"18","GA","77.5","79.1","80.7","5563"
"19","PR","93.2","94.1","94.9","5733"
"20","LA","80","81.3","82.6","5829"
"21","DE","90.1","91.4","92.6","4022"
"22","UT","85.4","86.1","86.8","13443"
"23","WY","83.1","84.9","86.7","5847"
"24","IL","86.7","88.1","89.5","4687"
"25","DC","89.7","91.7","93.7","3921"
"26","OK","85","86.1","87.1","7631"
"27","NE","86.8","87.7","88.5","20593"
"28","WI","90.4","91.5","92.6","6623"
"29","MS","79.3","81.2","83.1","3699"
"30","NH","87.3","88.6","89.9","5668"
"31","NY","86.6","87.7","88.9","6276"
"32","SC","81.8","82.9","84","9732"
"33","KY","88.9","90","91.2","10587"
"34","VA","85.9","87","88","8620"
"35","MD","89.6","90.8","92","12030"
"36","RI","90.8","92","93.2","6151"
"37","NM","83.3","84.6","85.9","7954"
"38","GU","72.6","75.2","77.8","2036"
"39","TN","84.1","85.8","87.4","4666"
"40","CA","84.2","85.2","86.2","7756"
"41","US",NA,"87.6",NA,"53"
"42","VT","92.5","93.3","94.1","6115"
"43","OR","87.6","89","90.3","4852"
"44","NV","80.7","82.9","85","3345"
"45","AR","81.9","83.7","85.6","4782"
"46","CT","90.3","91.3","92.4","7505"
"47","UW",NA,"87.6",NA,"51"
"48","MO","85.7","87.1","88.4","6478"
"49","WA","88.3","89.3","90.3","9453"
"50","NC","82.8","83.9","85","6313"
"51","ID","81.9","83.5","85","4787"
"52","IN","84.3","85.3","86.3","10462"
"53","IA","91.4","92.3","93.2","7712"
"54","MA","94.8","95.4","96","15098"
"55","CO","86.4","87.2","88.1","12227"
