"","Personal Doctor Count","Insurance Count","Total Respondents","Medicaid Expansion"
"AL",3165.47559144075,3415.49931019347,3953,0
"AK",1109.0645692298,1502.55301840536,1778,100
"AZ",2868.43571092791,3350.45647112041,3932,100
"AR",2202.76855197835,2300.41199838087,2604,100
"CA",4823.43367951136,5517.29679606676,6249,1
"CO",5060.56260102661,5905.73864274559,6705,1
"CT",5028.92979147109,5490.32072131107,5914,1
"DE",1672.06763849067,1838.31304957565,2023,1
"DC",1565.79432991656,1854.22742754529,1984,1
"FL",3766.0397426534,3992.47485885706,4823,0
"GA",1666.32940244042,1920.44988041365,2324,0
"HI",3059.32171964983,3303.28774752143,3572,1
"ID",2090.98655724209,2479.96962018499,2869,0
"IL",2159.77787866911,2363.09125609398,2639,1
"IN",2461.84417220754,2665.41052037684,3003,100
"IA",2500.64696599806,2896.19693750424,3094,100
"KS",9200.98632941415,10010.742967591,11520,0
"KY",3646.67183417049,4015.46694507263,4380,1
"LA",1761.23608290446,1943.9589362845,2338,0
"ME",3908.8762308883,4058.08949591165,4495,0
"MD",5372.42396724298,5726.32846082535,6247,1
"MA",4105.40401694596,4370.58395179434,4591,1
"MI",3798.10044656871,3993.43827615553,4427,100
"MN",6400.81573246366,7797.52681526023,8320,1
"MS",2389.52564067639,2484.28978871107,3005,0
"MO",2867.83475762593,3213.10264416085,3626,0
"MT",2218.87824975657,2614.43384288759,3000,0
"NE",7046.89704667282,7650.94989814978,8725,0
"NV",982.823784109243,1267.43359749045,1452,1
"NH",3126.83819300887,3227.0591036024,3483,100
"NJ",4750.1450464811,5041.46692034475,5694,1
"NM",2362.86762549295,2984.1196079027,3347,1
"NY",5083.45480438444,5509.16666945145,6114,1
"NC",2601.0618082743,2822.61133195358,3335,0
"ND",1795.24943392931,2259.83849443715,2458,1
"OH",4859.47536792159,5445.06722917707,5917,1
"OK",2571.222832582,2970.64710458194,3455,0
"OR",2078.79592774709,2440.70581247857,2637,1
"PA",2430.57681086802,2611.70043354947,2848,100
"RI",2720.04353150927,2854.68643085221,3075,1
"SC",4463.15954829316,4956.25999710737,5760,0
"SD",2804.7389358055,3272.76424399357,3597,0
"TN",2296.64623051697,2573.08817908699,2970,0
"TX",4861.55716726132,5620.78604835295,7269,0
"UT",4155.88309335134,4984.68508615047,5653,0
"VT",2805.59777268773,3009.40575674518,3220,1
"VA",3397.57793848711,3848.05604756585,4295,0
"WA",6129.99451085264,7177.04881591804,7987,1
"WV",2315.5960987856,2735.81078783922,2963,1
"WI",2490.17240389581,2851.60794952029,3073,100
"WY",1955.6500938356,2321.64552336632,2722,0
"GU",614.626273555356,671.836554206845,831,1
"PR",2248.24188911644,2507.62415426701,2696,1
