"","State","CI.LB","Estimate","CI.UB","Sample.Size"
"1","WA","81.8","82.9","83.9","9879"
"2","OK","80.4","81.6","82.9","7187"
"3","MO","83.6","84.9","86.2","6323"
"4","NE","84.6","85.6","86.6","15497"
"5","ME","86.8","87.8","88.9","7293"
"6","AZ","77","79.5","82.1","3682"
"7","CO","82.3","83.2","84.1","11974"
"8","GU","72.4","74.9","77.5","1471"
"9","HI","91","91.8","92.7","7162"
"10","NV","75.2","77.5","79.8","4301"
"11","UT","82.5","83.4","84.4","11248"
"12","MS","75.3","76.8","78.4","6289"
"13","TX","70.7","72","73.4","8625"
"14","OR","78.2","79.8","81.5","5159"
"15","ID","78.4","80.1","81.8","4788"
"16","NH","86.1","87.3","88.5","5805"
"17","TN","81.2","82.7","84.3","5050"
"18","OH","85.5","86.5","87.5","10737"
"19","CA","81.8","82.8","83.8","9929"
"20","PR","92.5","93.3","94.2","5721"
"21","MD","86","87.1","88.2","12064"
"22","SC","79.6","80.8","82","9270"
"23","DE","87.1","88.4","89.6","4737"
"24","WI","87.1","88.4","89.7","5982"
"25","IL","82.1","83.7","85.4","5050"
"26","RI","83.3","84.7","86","5824"
"27","AL","81.3","82.9","84.5","5788"
"28","MI","84.9","85.9","86.9","11462"
"29","NC","79","80.2","81.4","7526"
"30","AR","75.4","77.2","79.1","4493"
"31","VA","83.5","84.7","85.8","7494"
"32","IN","81.7","82.8","83.8","9068"
"33","KY","80.8","82","83.3","9583"
"34","ND","88.6","89.7","90.7","7140"
"35","SD","86.4","87.8","89.2","6262"
"36","WV","79.9","81.3","82.6","5034"
"37","FL","76","77.1","78.3","29145"
"38","VT","89.7","90.8","91.8","5949"
"39","KS","82.2","82.9","83.6","20545"
"40","MT","81.4","82.6","83.7","8390"
"41","AK","80.6","82.3","84","3852"
"42","MA","93.2","93.9","94.6","14377"
"43","WY","78.9","80.5","82.1","5672"
"44","MN","88.3","89.3","90.3","13277"
"45","GA","75.3","76.7","78.1","6786"
"46","NM","77.2","78.5","79.8","7769"
"47","NY","84.8","85.9","87","8005"
"48","IA","88.6","89.6","90.7","7606"
"49","NJ","83.1","84.1","85","11669"
"50","PA","86.6","87.5","88.4","10297"
"51","LA","76.2","78.4","80.5","4603"
"52","DC","89.7","91.3","92.8","4698"
"53","CT","88.9","90","91.1","7090"
"54","US",NA,"83.2",NA,"53"
"55","UW",NA,"83.2",NA,"51"
